Cluster.number	genenames
Cluster 10	Siva1
Cluster 10	Slc39a12
Cluster 10	Smco4
Cluster 10	Sox5
Cluster 10	Spata33
Cluster 10	Sra1
Cluster 10	Sssca1
Cluster 10	Ssu72
Cluster 10	Stx18
Cluster 10	Sult2b1
Cluster 10	Sult4a1
Cluster 10	Susd3
Cluster 10	Taldo1
Cluster 10	Tango2
Cluster 10	Tars2
Cluster 10	Tceb2
Cluster 10	Tcta
Cluster 10	Thoc6
Cluster 10	Timm10b
Cluster 10	Timm13
Cluster 10	Tm2d3
Cluster 10	Tmem14c
Cluster 10	Tmem160
Cluster 10	Tmem223
Cluster 10	Tmem256
Cluster 10	Tmem53
Cluster 10	Trappc3
Cluster 10	Trappc6a
Cluster 10	Trem2
Cluster 10	Tst
Cluster 10	Ttc1
Cluster 10	Txn2
Cluster 10	Ubxn11
Cluster 10	Uchl1
Cluster 10	Uqcc2
Cluster 10	Uqcr10
Cluster 10	Uqcr11
Cluster 10	Uqcrq
Cluster 10	Vamp5
Cluster 10	Vgll4
Cluster 10	Vps25
Cluster 10	Vps28
Cluster 10	Wdr74
Cluster 10	Wdr83
Cluster 10	Yif1a
Cluster 10	Zbed5
Cluster 10	Zfyve21
Cluster 10	Znhit1
Cluster 11	Aar2
Cluster 11	Aass
Cluster 11	Abcb1b
Cluster 11	Abcb4
Cluster 11	Abcc5
Cluster 11	Acadsb
Cluster 11	Acp1
Cluster 11	Acsl5
Cluster 11	Adamts1
Cluster 11	Adamts19
Cluster 11	Adarb2
Cluster 11	Agk
Cluster 11	Akr1b10
Cluster 11	Akr1c19
Cluster 11	Akr1cl
Cluster 11	Akr1e2
Cluster 11	Aldh1a2
Cluster 11	Alg12
Cluster 11	Als2
Cluster 11	Ankrd27
Cluster 11	Ankrd46
Cluster 11	Anxa1
Cluster 11	Anxa4
Cluster 11	Aplnr
Cluster 11	Apol9a
Cluster 11	Araf
Cluster 11	Arf4
Cluster 11	Arg1
Cluster 11	Arhgap15
Cluster 11	Arl6
Cluster 11	Arrdc3
Cluster 11	Asah1
Cluster 11	Asb3
Cluster 11	Asrgl1
Cluster 11	Atad1
Cluster 11	Atf2
Cluster 11	Atg4al1
Cluster 11	Atg4c
Cluster 11	Atic
Cluster 11	Atl2
Cluster 11	Atp5f1
Cluster 11	Atp6v1a
Cluster 11	Atp6v1b2
Cluster 11	Atp6v1c1
Cluster 11	Atp6v1h
Cluster 11	B2m
Cluster 11	B3galnt2
Cluster 11	Bag2
Cluster 11	Bccip
Cluster 11	Bche
Cluster 11	Bco2
Cluster 11	Bet1l
Cluster 11	Bin3
Cluster 11	Bmp5
Cluster 11	Bnip1
Cluster 11	Bub3
Cluster 11	Bud31
Cluster 11	Bzw1
Cluster 11	C1galt1c1
Cluster 11	C1r
Cluster 11	C1s
Cluster 11	Cacna2d3
Cluster 11	Calu
Cluster 11	Capza1
Cluster 11	Car12
Cluster 11	Carf
Cluster 11	Cav1
Cluster 11	Ccdc132
Cluster 11	Ccdc163
Cluster 11	Ccdc47
Cluster 11	Ccdc62
Cluster 11	Ccl19
Cluster 11	Ccnc
Cluster 11	Ccnh
Cluster 11	Ccnl2
Cluster 11	Cd300lf
Cluster 11	Cd48
Cluster 11	Cd9
Cluster 11	Cdc23
Cluster 11	Cdc42se2
Cluster 11	Cept1
Cluster 11	Cers2
Cluster 11	Chac2
Cluster 11	Chrm3
Cluster 11	Cirh1a
Cluster 11	Cklf
Cluster 11	Cks1b
Cluster 11	Cldnd1
Cluster 11	Clk4
Cluster 11	Clp1
Cluster 11	Clvs2
Cluster 11	Cmtm5
Cluster 11	Cnep1r1
Cluster 11	Cnih4
Cluster 11	Cnot2
Cluster 11	Cntn4
Cluster 11	Cntn5
Cluster 11	Cntnap5b
Cluster 11	Cntnap5c
Cluster 11	Coa5
Cluster 11	Cog3
Cluster 11	Copb2
Cluster 11	Cpq
Cluster 11	Cpxm2
Cluster 11	Cr1l
Cluster 11	Crip1
Cluster 11	Crispld1
Cluster 11	Csde1
Cluster 11	Csnk1g1
Cluster 11	Cst3
Cluster 11	Cstf2
Cluster 11	Ctnnb1
Cluster 11	Ctsf
Cluster 11	Ctsk
Cluster 11	Cyb5b
Cluster 11	Cyp27a1
Cluster 11	Cyp2t1
Cluster 11	Cyp4f6
Cluster 11	Cyp4v3
Cluster 11	Cyp4x1
Cluster 11	Cyp51
Cluster 11	Dcc
Cluster 11	Dcp1a
Cluster 11	Ddo
Cluster 11	Ddx5
Cluster 11	Depdc7
Cluster 11	Diexf
Cluster 11	Dnajb13
Cluster 11	Dnajb4
Cluster 11	Dolk
Cluster 11	Dpm3
Cluster 11	Dscr3
Cluster 11	Dusp1
Cluster 11	Dusp2
Cluster 11	Dynlt1
Cluster 11	Eaf1
Cluster 11	Eef1a1
Cluster 11	Egfem1
Cluster 11	Eif2s1
Cluster 11	Eif3i
Cluster 11	Eif4a2
Cluster 11	Elmod2
Cluster 11	Enc1
Cluster 11	Enpep
Cluster 11	Enpp1
Cluster 11	Enpp5
Cluster 11	Entpd3
Cluster 11	Epha3
Cluster 11	Epha7
Cluster 11	Eps15
Cluster 11	Eri2
Cluster 11	Etfa
Cluster 11	Etfdh
Cluster 11	Exoc1
Cluster 11	Exoc4
Cluster 11	Exosc2
Cluster 11	Exosc3
Cluster 11	Fabp7
Cluster 11	Fam103a1
Cluster 11	Fam174a
Cluster 11	Fam175a
Cluster 11	Fam185a
Cluster 11	Fam198b
Cluster 11	Fam49a
Cluster 11	Fam96a
Cluster 11	Far1
Cluster 11	Farsb
Cluster 11	Fbln5
Cluster 11	Fbxl17
Cluster 11	Fbxl20
Cluster 11	Fbxo3
Cluster 11	Fbxw2
Cluster 11	Fibin
Cluster 11	Fpgt
Cluster 11	Fundc1
Cluster 11	Gabarapl1
Cluster 11	Gabpb1l
Cluster 11	Gabrb1
Cluster 11	Gabrb3
Cluster 11	Gabrg2
Cluster 11	Gli4
Cluster 11	Glt8d1
Cluster 11	Gmpr2
Cluster 11	Gnai1
Cluster 11	Gnl2
Cluster 11	Gnpda1
Cluster 11	Gpc5
Cluster 11	Gpld1
Cluster 11	Gpm6a
Cluster 11	Gpm6b
Cluster 11	Gpr19
Cluster 11	Gpr34
Cluster 11	Gria2
Cluster 11	Grik2
Cluster 11	Grxcr1
Cluster 11	Gstm5
Cluster 11	Gtf2e1
Cluster 11	Gtf2h3
Cluster 11	Hadhb
Cluster 11	Hax1
