Cluster.number	genenames
Cluster 13	Plekhn1
Cluster 13	Plod2
Cluster 13	Plscr2
Cluster 13	Plxnb3
Cluster 13	Pm20d2
Cluster 13	Pnrc2
Cluster 13	Pola1
Cluster 13	Polr3f
Cluster 13	Polr3g
Cluster 13	Pou3f2
Cluster 13	Pp2d1
Cluster 13	Ppp1cb
Cluster 13	Ppp1r15b
Cluster 13	Ppp3cc
Cluster 13	Prg4
Cluster 13	Prickle2
Cluster 13	Prkaa1
Cluster 13	Prkar2b
Cluster 13	Prkci
Cluster 13	Prkrir
Cluster 13	Prkx
Cluster 13	Pros1
Cluster 13	Prss35
Cluster 13	Psma3
Cluster 13	Psme4
Cluster 13	Ptbp3
Cluster 13	Ptgfrn
Cluster 13	Ptprj
Cluster 13	Pum1
Cluster 13	Pvrl3
Cluster 13	Pxdn
Cluster 13	Rab21
Cluster 13	Rad23b
Cluster 13	Rapgef2
Cluster 13	Rapgef6
Cluster 13	Rarb
Cluster 13	Rc3h2
Cluster 13	Ret
Cluster 13	Rev1
Cluster 13	Rfwd2
Cluster 13	Rfx7
Cluster 13	RGD1305645
Cluster 13	RGD1306227
Cluster 13	RGD1309748
Cluster 13	RGD1310641
Cluster 13	RGD1359290
Cluster 13	RGD1359508
Cluster 13	RGD1564124
Cluster 13	RGD1564345
Cluster 13	RGD1564541
Cluster 13	RGD1566099
Cluster 13	Rhobtb3
Cluster 13	Rhoq
Cluster 13	Rimbp2
Cluster 13	Ripk1
Cluster 13	Rnf103
Cluster 13	Rnf152
Cluster 13	Rorb
Cluster 13	Rp2
Cluster 13	Rpe
Cluster 13	Rpe65
Cluster 13	Rpl22
Cluster 13	Rpl22l1
Cluster 13	Rpl27
Cluster 13	Rpl35a
Cluster 13	Rpl39
Cluster 13	Rpl7a
Cluster 13	Rpl9
Cluster 13	Rps10
Cluster 13	Rps17
Cluster 13	Rps20
Cluster 13	Rps23
Cluster 13	Rps25
Cluster 13	Rps28
Cluster 13	Rps6ka5
Cluster 13	Rreb1
Cluster 13	Rsbn1
Cluster 13	Rsph10b
Cluster 13	Rtn4
Cluster 13	Rttn
Cluster 13	Runx2
Cluster 13	Rybp
Cluster 13	S100a13
Cluster 13	S100a4
Cluster 13	S100a6
Cluster 13	S100pbp
Cluster 13	Sacm1l
Cluster 13	Sbf2
Cluster 13	Scn1a
Cluster 13	Scn9a
Cluster 13	Scyl2
Cluster 13	Sde2
Cluster 13	Sec14l3
Cluster 13	Sema3d
Cluster 13	Senp6
Cluster 13	Senp7
Cluster 13	Serinc5
Cluster 13	Set
Cluster 13	Setd7
Cluster 13	Setdb1
Cluster 13	Sh3bgrl
Cluster 13	Shprh
Cluster 13	Siah2
Cluster 13	Slain2
Cluster 13	Slc18a2
Cluster 13	Slc1a2
Cluster 13	Slc22a15
Cluster 13	Slc25a16
Cluster 13	Slc25a32
Cluster 13	Slc25a33
Cluster 13	Slc25a53
Cluster 13	Slc2a12
Cluster 13	Slc30a1
Cluster 13	Slc30a5
Cluster 13	Slc35g2
Cluster 13	Slc39a1
Cluster 13	Slc39a14
Cluster 13	Slc44a1
Cluster 13	Slc4a10
Cluster 13	Slc4a7
Cluster 13	Slc8a1
Cluster 13	Smarcad1
Cluster 13	Smim15
Cluster 13	Smoc2
Cluster 13	Smpdl3a
Cluster 13	Snrpf
Cluster 13	Snx5
Cluster 13	Sp1
Cluster 13	Sp4
Cluster 13	Spag8
Cluster 13	Spag9
Cluster 13	Spata5l1
Cluster 13	Spata6
Cluster 13	Spopl
Cluster 13	Spry2
Cluster 13	Sptlc3
Cluster 13	Sqle
Cluster 13	Srek1ip1
Cluster 13	Srsf9
Cluster 13	Ssr3
Cluster 13	St6galnac6
Cluster 13	Stam
Cluster 13	Stk38
Cluster 13	Stx17
Cluster 13	Stx19
Cluster 13	Stxbp3
Cluster 13	Stxbp5l
Cluster 13	Styx
Cluster 13	Sult1d1
Cluster 13	Swt1
Cluster 13	Syce2
Cluster 13	Sycp2
Cluster 13	Sycp3
Cluster 13	Syde2
Cluster 13	Tab2
Cluster 13	Taf10
Cluster 13	Taf1d
Cluster 13	Tal1
Cluster 13	Tardbp
Cluster 13	Tbl1xr1
Cluster 13	Tbx18
Cluster 13	Tcp11l2
Cluster 13	Tdrd7
Cluster 13	Tec
Cluster 13	Tfrc
Cluster 13	Tipin
Cluster 13	Tll1
Cluster 13	Tlr7
Cluster 13	Tmcc3
Cluster 13	Tmed7
Cluster 13	Tmeff1
Cluster 13	Tmem117
Cluster 13	Tmem163
Cluster 13	Tmem2
Cluster 13	Tmem200a
Cluster 13	Tmem33
Cluster 13	Tmem55a
Cluster 13	Tmtc3
Cluster 13	Tmx4
Cluster 13	Tnpo1
Cluster 13	Tnpo2
Cluster 13	Tnrc6a
Cluster 13	Tpcn2
Cluster 13	Tra2a
Cluster 13	Trank1
Cluster 13	Trappc8
Cluster 13	Trhr
Cluster 13	Trim34
Cluster 13	Trove2
Cluster 13	Trpc1
Cluster 13	Trpc3
Cluster 13	Trpm3
Cluster 13	Trpv3
Cluster 13	Ttc14
Cluster 13	Ttc17
Cluster 13	Ttc19
Cluster 13	Ttc30b
Cluster 13	Txnip
Cluster 13	Uba6
Cluster 13	Ugcg
Cluster 13	Ugt8
Cluster 13	Ulk2
Cluster 13	Unc5c
Cluster 13	Usp24
Cluster 13	Usp28
Cluster 13	Usp33
Cluster 13	Usp46
Cluster 13	Vegfc
Cluster 13	Vof16
Cluster 13	Vom2r44
Cluster 13	Vom2r80
Cluster 13	Vps13b
Cluster 13	Vstm4
Cluster 13	Vwa3a
Cluster 13	Wnt5a
Cluster 13	Xpo4
Cluster 13	Xpot
Cluster 13	Xrcc2
Cluster 13	Xrn1
Cluster 13	Yars2
Cluster 13	Zc3h7a
Cluster 13	Zcchc7
Cluster 13	Zdhhc2
Cluster 13	Zdhhc21
Cluster 13	Zfp192
Cluster 13	Zfp266
Cluster 13	Zfp347
Cluster 13	Zfp398
Cluster 13	Zfp40
Cluster 13	Zfp518a
Cluster 13	Zfp52
Cluster 13	Zfp608
Cluster 13	Zfyve9
Cluster 13	Zic2
Cluster 14	Aard
Cluster 14	Abhd13
Cluster 14	Abhd17b
Cluster 14	Abhd17c
Cluster 14	Acbd3
Cluster 14	Acsl4
Cluster 14	Actr6
Cluster 14	Acvr1c
Cluster 14	Adgrl2
Cluster 14	Adpgk
Cluster 14	Ahr
Cluster 14	Aida
Cluster 14	Akap11
Cluster 14	Akap7
Cluster 14	Akap9
Cluster 14	Akirin2
Cluster 14	Akt3
Cluster 14	Amd1
Cluster 14	Ankhd1
Cluster 14	Ankib1
Cluster 14	Ankra2
Cluster 14	Ankrd12
Cluster 14	Ankrd13c
Cluster 14	Ankrd17
Cluster 14	Ap4s1
Cluster 14	Apbb1ip
Cluster 14	Arfgef1
Cluster 14	Arglu1
Cluster 14	Arhgap5
Cluster 14	Arhgef12
Cluster 14	Arhgef39
Cluster 14	Arhgef9
Cluster 14	Arid4a
Cluster 14	Asb14
Cluster 14	Ash1l
Cluster 14	Atad2
Cluster 14	Atad2b
Cluster 14	Atp13a3
Cluster 14	Aven
Cluster 14	B3galt1
Cluster 14	B3gnt2
Cluster 14	Bcl11b
Cluster 14	Bend6
Cluster 14	Bhlhb9
Cluster 14	Bhlhe22
Cluster 14	Birc6
Cluster 14	Bod1
Cluster 14	Brd7
Cluster 14	Bri3
Cluster 14	Btbd7
Cluster 14	Btg1
Cluster 14	C1galt1
Cluster 14	C1ql3
Cluster 14	Caap1
Cluster 14	Cab39
Cluster 14	Cacnb4
Cluster 14	Calcr
Cluster 14	Camsap2
Cluster 14	Cask
Cluster 14	Cbx3
Cluster 14	Ccdc112
Cluster 14	Ccdc39
Cluster 14	Ccdc82
Cluster 14	Ccni
Cluster 14	Ccp110
Cluster 14	Cd164
Cluster 14	Cdc42bpa
Cluster 14	Cdc73
Cluster 14	Cdca7l
Cluster 14	Cdk13
Cluster 14	Cdk9
Cluster 14	Cdkn1b
Cluster 14	Cdr2
Cluster 14	Cenpc
Cluster 14	Cep290
Cluster 14	Cep295
Cluster 14	Cep57
Cluster 14	Cep70
Cluster 14	Cep83
Cluster 14	Chd1
Cluster 14	Chd2
Cluster 14	Chic2
Cluster 14	Chm
Cluster 14	Chrm2
Cluster 14	Chsy1
Cluster 14	Cited2
Cluster 14	Clgn
Cluster 14	Clic5
Cluster 14	Clmp
Cluster 14	Cmas
Cluster 14	Cnksr2
Cluster 14	Cntf
Cluster 14	Cntln
Cluster 14	Cobl
Cluster 14	Coq10a
Cluster 14	Cpeb4
Cluster 14	Cpne8
Cluster 14	Cpox
Cluster 14	Cpsf7
Cluster 14	Crebrf
Cluster 14	Ctbp2
Cluster 14	Ctcf
Cluster 14	Cul1
Cluster 14	Cul3
Cluster 14	Cul5
Cluster 14	Cwf19l2
Cluster 14	Cyp3a9
Cluster 14	Dact3
Cluster 14	Dcn
Cluster 14	Dcun1d1
Cluster 14	Ddx52
Cluster 14	Dek
Cluster 14	Dennd6a
Cluster 14	Desi2
Cluster 14	Dexi
Cluster 14	Dgki
Cluster 14	Dhx36
Cluster 14	Dlg1
Cluster 14	Dlg3
Cluster 14	Dnajb14
Cluster 14	Dnajc2
Cluster 14	Dnajc21
Cluster 14	Dnajc3
Cluster 14	Dock7
Cluster 14	Dpy19l1
Cluster 14	Dpy19l4
Cluster 14	Drd2
Cluster 14	Dync2h1
Cluster 14	Dynll2
Cluster 14	Ednrb
Cluster 14	Eea1
Cluster 14	Efhd1
Cluster 14	Eid1
Cluster 14	Eif1
Cluster 14	Eif1b
Cluster 14	Eif2s2
Cluster 14	Eif3a
Cluster 14	Eif3f
Cluster 14	Eif4e3
Cluster 14	Elk3
Cluster 14	Ell3
Cluster 14	Elmod1
Cluster 14	Epc2
Cluster 14	Ephx4
Cluster 14	Erc1
Cluster 14	Ero1a
Cluster 14	Esco1
Cluster 14	Evi5
Cluster 14	Ezh2
Cluster 14	Fam102b
Cluster 14	Fam107a
Cluster 14	Fam204a
Cluster 14	Fam69a
Cluster 14	Fam76b
Cluster 14	Fam81a
Cluster 14	Fbxl22
Cluster 14	Fbxl3
Cluster 14	Fbxo15
Cluster 14	Fbxo30
Cluster 14	Fbxo33
Cluster 14	Fem1b
Cluster 14	Filip1
Cluster 14	Fjx1
Cluster 14	Fmr1
Cluster 14	Fnbp1l
Cluster 14	Foxc1
Cluster 14	Foxg1
Cluster 14	Foxp2
Cluster 14	Fxr1
Cluster 14	Fzd3
Cluster 14	Gabra2
Cluster 14	Gabra5
Cluster 14	Galnt13
Cluster 14	Gas2
Cluster 14	Gcc2
Cluster 14	Gcfc2
Cluster 14	Gda
Cluster 14	Gdf11
Cluster 14	Gkap1
Cluster 14	Glipr1
Cluster 14	Gnas
Cluster 14	Gopc
Cluster 14	Gpbp1
Cluster 14	Gpc3
Cluster 14	Gpr137c
Cluster 14	Gpr22
Cluster 14	Gpr6
Cluster 14	Gpr85
Cluster 14	Grem1
Cluster 14	Grin2a
Cluster 14	Grin3a
Cluster 14	Grk5
Cluster 14	Gspt2
Cluster 14	Gtdc1
Cluster 14	Gucy1a3
Cluster 14	Gxylt1
Cluster 14	Hdx
Cluster 14	Hivep1
Cluster 14	Hmmr
Cluster 14	Hnrnpab
Cluster 14	Hnrnpl
Cluster 14	Hnrnpu
Cluster 14	Homer1
Cluster 14	Homer2
Cluster 14	Hook1
Cluster 14	Hs2st1
Cluster 14	Hsd17b13
Cluster 14	Id2
Cluster 14	Id4
Cluster 14	Ier5
Cluster 14	Ift74
Cluster 14	Igfbp7
Cluster 14	Igsf10
Cluster 14	Il12rb2
Cluster 14	Impad1
Cluster 14	Ing1
Cluster 14	Ing2
Cluster 14	Inpp4a
Cluster 14	Ints6
Cluster 14	Isoc1
Cluster 14	Itpka
Cluster 14	Itpr1
Cluster 14	Kat6a
Cluster 14	Kbtbd7
Cluster 14	Kcnb2
Cluster 14	Kcnd2
Cluster 14	Kcnd3
Cluster 14	Kcnk15
Cluster 14	Kcnma1
Cluster 14	Kcnmb4
Cluster 14	Kcnq3
Cluster 14	Kctd9
Cluster 14	Kdelr3
Cluster 14	Khdrbs3
Cluster 14	Kiaa0408
Cluster 14	Kif27
Cluster 14	Kitlg
Cluster 14	Klf3
Cluster 14	Klhdc10
Cluster 14	Klhl4
Cluster 14	Kpna4
Cluster 14	Kras
Cluster 14	Krcc1
Cluster 14	Lactb
Cluster 14	Larp1b
Cluster 14	Larp4b
Cluster 14	Lekr1
Cluster 14	Lgi2
Cluster 14	Lin7a
Cluster 14	Lmo4
Cluster 14	Lmo7
Cluster 14	Lnc215
Cluster 14	LOC100909539
Cluster 14	LOC100910827
Cluster 14	LOC100911664
Cluster 14	LOC102550394
Cluster 14	LOC102554586
Cluster 14	LOC297756
Cluster 14	LOC314140
Cluster 14	LOC499331
Cluster 14	Lonrf3
Cluster 14	Lpl
Cluster 14	Lrrc7
Cluster 14	Man1a1
Cluster 14	Man1a2
Cluster 14	Map2
Cluster 14	Mapkapk5
Cluster 14	March11
Cluster 14	Matr3
Cluster 14	Mbd2
Cluster 14	Med13
Cluster 14	Med17
Cluster 14	Med26
Cluster 14	Mef2a
Cluster 14	Mff
Cluster 14	MGC94199
Cluster 14	Mgea5
Cluster 14	Micu3
Cluster 14	Mier1
Cluster 14	Mip
Cluster 14	Mir568
Cluster 14	Mllt10
Cluster 14	Mpdz
Cluster 14	Mpp5
Cluster 14	Mpp6
Cluster 14	Mrps30
Cluster 14	Mtfmt
Cluster 14	Mthfd2l
Cluster 14	Mtss1
Cluster 14	Mum1l1
Cluster 14	Mycbp2
Cluster 14	Myo5a
Cluster 14	Myo9a
Cluster 14	N4bp2l2
Cluster 14	Naa30
Cluster 14	Nadk2
Cluster 14	Nap1l3
Cluster 14	Ncam2
Cluster 14	Ndfip2
Cluster 14	Negr1
Cluster 14	Neto2
Cluster 14	Nexn
Cluster 14	Nifk
Cluster 14	Nlk
Cluster 14	Nog
Cluster 14	Nqo2
Cluster 14	Nr2f1
Cluster 14	Nr3c1
Cluster 14	Nr4a2
Cluster 14	Nrn1
Cluster 14	Nsd1
Cluster 14	Nts
Cluster 14	Nucks1
Cluster 14	Nup153
Cluster 14	Odf2l
Cluster 14	Osbpl8
Cluster 14	Ovol1
Cluster 14	Pabpc1
Cluster 14	Pak2
Cluster 14	Pard3
Cluster 14	Pard3b
Cluster 14	Pcbp2
Cluster 14	Pcdh11x
Cluster 14	Pcdh17
Cluster 14	Pcdh7
Cluster 14	Pcdhb6
Cluster 14	Pcm1
Cluster 14	Pcp4l1
Cluster 14	Pdcd7
Cluster 14	Pde1a
Cluster 14	Pds5b
Cluster 14	Pdyn
Cluster 14	Pdzd4
Cluster 14	Pdzd8
Cluster 14	Phf10
Cluster 14	Phf14
Cluster 14	Phtf2
Cluster 14	Pik3cb
Cluster 14	Pip4k2a
Cluster 14	Pitpna
Cluster 14	Pkn2
Cluster 14	Plcb4
Cluster 14	Plekha3
Cluster 14	Pou3f1
Cluster 14	Pou3f3
Cluster 14	Ppapdc2
Cluster 14	Ppfibp1
Cluster 14	Ppm1b
Cluster 14	Ppm1k
Cluster 14	Ppp1cc
Cluster 14	Ppp1r9a
Cluster 14	Ppp2ca
Cluster 14	Ppp2r5a
Cluster 14	Ppp4r2
Cluster 14	Ppp4r3a
Cluster 14	Prex2
Cluster 14	Prkcb
Cluster 14	Prpf38b
Cluster 14	Prpf40a
Cluster 14	Prrx1
Cluster 14	Psip1
Cluster 14	Ptchd1
Cluster 14	Pten
Cluster 14	Pter
Cluster 14	Ptpmt1
Cluster 14	Ptpn12
Cluster 14	Ptpn4
Cluster 14	Pum2
Cluster 14	Purb
Cluster 14	Purg
Cluster 14	Pwwp2a
Cluster 14	Qser1
Cluster 14	Rab10
Cluster 14	Rab11fip2
Cluster 14	Rab40b
Cluster 14	Rab9b
Cluster 14	Rabgap1
Cluster 14	Rabgap1l
Cluster 14	Rad21
Cluster 14	Rad50
Cluster 14	Rai14
Cluster 14	Ralbp1
Cluster 14	Ranbp2
Cluster 14	Raph1
Cluster 14	Rasa1
Cluster 14	Rasal2
Cluster 14	Rb1cc1
Cluster 14	Rbm26
Cluster 14	Rbm41
Cluster 14	Rbpj
Cluster 14	Rcn1
Cluster 14	Rcor1
Cluster 14	Reln
Cluster 14	Rev3l
Cluster 14	Rfx5
Cluster 14	RGD1305938
Cluster 14	RGD1307100
Cluster 14	RGD1309036
Cluster 14	RGD1309079
Cluster 14	RGD1309104
Cluster 14	RGD1309779
Cluster 14	RGD1311863
Cluster 14	RGD1559909
Cluster 14	RGD1562608
Cluster 14	RGD1562638
Cluster 14	RGD1563349
Cluster 14	RGD1565033
Cluster 14	Rgs17
Cluster 14	Rn5-8s
Cluster 14	Rnf111
Cluster 14	Rnf130
Cluster 14	Rock1
Cluster 14	Rock2
Cluster 14	Rpia
Cluster 14	Rpl11
Cluster 14	Rpl23
Cluster 14	Rpl23a
Cluster 14	Rpl24
Cluster 14	Rpl26
Cluster 14	Rpl27a
Cluster 14	Rpl30
Cluster 14	Rpl31
Cluster 14	Rpl36a
Cluster 14	Rpl36al
Cluster 14	Rpl37
Cluster 14	Rpl7
Cluster 14	Rps12
Cluster 14	Rps15a
Cluster 14	Rps24
Cluster 14	Rps27a
Cluster 14	Rps6ka3
Cluster 14	Rps7
Cluster 14	Rragc
Cluster 14	Rragd
Cluster 14	Rras2
Cluster 14	Rsbn1l
Cluster 14	Rspo3
Cluster 14	Rtn4rl1
Cluster 14	Samd11
Cluster 14	Samd12
Cluster 14	Sart1
Cluster 14	Scaf11
Cluster 14	Scarf2
Cluster 14	Scg3
Cluster 14	Sclt1
Cluster 14	Scn3a
Cluster 14	Sema3c
Cluster 14	Sema5a
Cluster 14	Sept10
Cluster 14	Sertad4
Cluster 14	Setd4
Cluster 14	Setd5
Cluster 14	Sfpq
Cluster 14	Sfrp1
Cluster 14	Sh2d1a
Cluster 14	Siah1
Cluster 14	Sidt1
Cluster 14	Ska3
Cluster 14	Slc17a6
Cluster 14	Slc2a13
Cluster 14	Slc30a4
Cluster 14	Slc5a3
Cluster 14	Slc5a7
Cluster 14	Slc6a5
Cluster 14	Slitrk4
Cluster 14	Slitrk5
Cluster 14	Slk
Cluster 14	Slmap
Cluster 14	Smarca1
Cluster 14	Smarca5
Cluster 14	Smc4
Cluster 14	Smc6
Cluster 14	Smurf2
Cluster 14	Snf8
Cluster 14	Snrpe
Cluster 14	Sntg1
Cluster 14	Snx27
Cluster 14	Sos2
Cluster 14	Sox2
Cluster 14	Sox4
Cluster 14	Spa17
Cluster 14	Spast
Cluster 14	Spata25
Cluster 14	Spef2
Cluster 14	Spire1
Cluster 14	Spred1
Cluster 14	Srek1
Cluster 14	Srsf1
Cluster 14	Srsf11
Cluster 14	Srsf6
Cluster 14	St3gal2
Cluster 14	St3gal5
Cluster 14	Stag2
Cluster 14	Stk39
Cluster 14	Strbp
Cluster 14	Strn3
Cluster 14	Suco
Cluster 14	Sytl5
Cluster 14	Tada2b
Cluster 14	Taf5
Cluster 14	Tarsl2
Cluster 14	Tbl1x
Cluster 14	Tdp2
Cluster 14	Tex15
Cluster 14	Tfb2m
Cluster 14	Thrb
Cluster 14	Tjp1
Cluster 14	Tle1
Cluster 14	Tlk1
Cluster 14	Tlk2
Cluster 14	Tmem229a
Cluster 14	Tmem243
Cluster 14	Tmem47
Cluster 14	Tmf1
Cluster 14	Tnks
Cluster 14	Tnks2
Cluster 14	Top1
Cluster 14	Top2b
Cluster 14	Tox3
Cluster 14	Tpr
Cluster 14	Tram1
Cluster 14	Trh
Cluster 14	Trip11
Cluster 14	Trmt13
Cluster 14	Trpc6
Cluster 14	Trpv6
Cluster 14	Tsc22d2
Cluster 14	Tshz3
Cluster 14	Tspan2
Cluster 14	Ttc3
Cluster 14	Ttc30a
Cluster 14	Ttc9
Cluster 14	Ttyh1
Cluster 14	Twistnb
Cluster 14	Ube2g1
Cluster 14	Ube2s
Cluster 14	Ube3a
Cluster 14	Uhmk1
Cluster 14	Unc119
Cluster 14	Unc13c
Cluster 14	Uri1
Cluster 14	Uso1
Cluster 14	Usp1
Cluster 14	Usp25
Cluster 14	Usp29
Cluster 14	Usp34
Cluster 14	Usp53
Cluster 14	Usp7
Cluster 14	Vav3
Cluster 14	Vcam1
Cluster 14	Vegfb
Cluster 14	Vim
Cluster 14	Vps54
Cluster 14	Wdr44
Cluster 14	Wipf1
Cluster 14	Wnk3
Cluster 14	Wwc2
Cluster 14	Xiap
Cluster 14	Xkr6
Cluster 14	Xpa
Cluster 14	Xrcc6bp1
Cluster 14	Ybx1
Cluster 14	Ybx1-ps3
Cluster 14	Yeats2
Cluster 14	Ythdc1
Cluster 14	Zbtb44
Cluster 14	Zc3h6
Cluster 14	Zcchc11
Cluster 14	Zfand5
Cluster 14	Zfhx4
Cluster 14	Zfp292
Cluster 14	Zfp36l2
Cluster 14	Zfp458
Cluster 14	Zfp503
Cluster 14	Zfp638
Cluster 14	Zfp800
Cluster 14	Zfpm2
Cluster 14	Zfx
Cluster 14	Zmat2
Cluster 15	Adap1
Cluster 15	Adgrl1
Cluster 15	Afap1
Cluster 15	Aff3
Cluster 15	Agap1
Cluster 15	Agap2
Cluster 15	Agap3
Cluster 15	Akap17a
Cluster 15	Alpl
Cluster 15	Anks1a
Cluster 15	Apba1
Cluster 15	Aplp1
Cluster 15	Arhgap39
Cluster 15	Ascl1
Cluster 15	Atf5
Cluster 15	Atg9a
Cluster 15	Atp1b2
Cluster 15	Atp6v0a1
Cluster 15	Atxn2l
Cluster 15	Axin2
Cluster 15	B3gat1
Cluster 15	B3gnt7
Cluster 15	Baiap2l2
Cluster 15	Bcas3
Cluster 15	Bcl11a
Cluster 15	Bcorl1
Cluster 15	Begain
Cluster 15	Bgn
Cluster 15	Bmyc
Cluster 15	Brd3
Cluster 15	Brd4
Cluster 15	Bsn
Cluster 15	C1ql1
Cluster 15	Cabp1
Cluster 15	Cacng2
Cluster 15	Cacng5
Cluster 15	Cacng7
Cluster 15	Cadm4
Cluster 15	Camsap3
Cluster 15	Carm1
Cluster 15	Caskin1
Cluster 15	Cbfa2t3
Cluster 15	Cbx6
Cluster 15	Ccdc64
Cluster 15	Ccdc92
Cluster 15	Cdc42bpb
Cluster 15	Celf5
Cluster 15	Cep131
Cluster 15	Chchd10
Cluster 15	Chd5
Cluster 15	Chrna4
Cluster 15	Chst12
Cluster 15	Clmn
Cluster 15	Cmip
Cluster 15	Cnih2
Cluster 15	Cnot3
Cluster 15	Cox4i2
Cluster 15	Cox6b2
Cluster 15	Cplx2
Cluster 15	Cpne2
Cluster 15	Cpne5
Cluster 15	Creb3l1
Cluster 15	Creb3l2
Cluster 15	Crip2
Cluster 15	Crlf1
Cluster 15	Crlf2
Cluster 15	Crmp1
Cluster 15	Crocc
Cluster 15	Csdc2
Cluster 15	Cuedc1
Cluster 15	Cux2
Cluster 15	Cx3cl1
Cluster 15	Dact2
Cluster 15	Dchs1
Cluster 15	Ddn
Cluster 15	Dfnb31
Cluster 15	Dgkz
Cluster 15	Disp2
Cluster 15	Dlgap3
Cluster 15	Dlgap4
Cluster 15	Dnajc16
Cluster 15	Dnm1
Cluster 15	Dnmt3a
Cluster 15	Dpf1
Cluster 15	Dusp8
Cluster 15	Eef1a2
Cluster 15	Efhd2
Cluster 15	Ehmt2
Cluster 15	Elavl3
Cluster 15	Elmo1
Cluster 15	Elmsan1
Cluster 15	Eml2
Cluster 15	Erf
Cluster 15	Esrrg
Cluster 15	Fa2h
Cluster 15	Faim2
Cluster 15	Fam189b
Cluster 15	Fam222b
Cluster 15	Fam57b
Cluster 15	Fam65a
Cluster 15	Fasn
Cluster 15	Fbxo31
Cluster 15	Fbxo41
Cluster 15	Fbxw8
Cluster 15	Fgfr3
Cluster 15	Fmnl1
Cluster 15	Foxo3
Cluster 15	Foxp4
Cluster 15	Ftl1
Cluster 15	Furin
Cluster 15	Fzr1
Cluster 15	G6pc3
Cluster 15	Gab2
Cluster 15	Gatsl2
Cluster 15	Git1
Cluster 15	Gjc2
Cluster 15	Gltscr1
Cluster 15	Gna11
Cluster 15	Gnai2
Cluster 15	Gpr165
Cluster 15	Gpsm1
Cluster 15	Grik3
Cluster 15	Grin2d
Cluster 15	Grina
Cluster 15	Gsk3a
Cluster 15	Gstm2
Cluster 15	Gtpbp1
Cluster 15	Hapln4
Cluster 15	Hcfc1
Cluster 15	Heyl
Cluster 15	Hipk2
Cluster 15	Hivep3
Cluster 15	Hmg20b
Cluster 15	Hpcal1
Cluster 15	Hspb1
Cluster 15	Hspb6
Cluster 15	Igf1r
Cluster 15	Inafm1
Cluster 15	Iqsec2
Cluster 15	Irf2bpl
Cluster 15	Jade2
Cluster 15	Jup
Cluster 15	Kcnc4
Cluster 15	Kcng1
Cluster 15	Khsrp
Cluster 15	Kif21b
Cluster 15	Kif5a
Cluster 15	Klhl26
Cluster 15	L1cam
Cluster 15	Lef1
Cluster 15	Limk1
Cluster 15	LOC497934
Cluster 15	LOC690911
Cluster 15	Lppr2
Cluster 15	Lrfn4
Cluster 15	Lrrc4b
Cluster 15	Lrrc58
Cluster 15	Lrrc8a
Cluster 15	Ly6h
Cluster 15	Man2a2
Cluster 15	Map1a
Cluster 15	Mapre3
Cluster 15	Marcksl1
Cluster 15	Mark4
Cluster 15	Mbd6
Cluster 15	Mdga1
Cluster 15	Meis3
Cluster 15	Mgat3
Cluster 15	Mink1
Cluster 15	Mir3577
Cluster 15	Mllt1
Cluster 15	Mmp14
Cluster 15	Mmp15
Cluster 15	Mnt
Cluster 15	Mras
Cluster 15	Mrpl38
Cluster 15	Myadm
Cluster 15	Myrf
Cluster 15	Naa60
Cluster 15	Nat8l
Cluster 15	Ncan
Cluster 15	Ncor2
Cluster 15	Neurod1
Cluster 15	Nfkbil1
Cluster 15	Nlgn2
Cluster 15	Nlgn3
Cluster 15	Nmnat2
Cluster 15	Nos1
Cluster 15	Notch1
Cluster 15	Notch4
Cluster 15	Nptx1
Cluster 15	Nrsn2
Cluster 15	Ntn4
Cluster 15	Ntsr2
Cluster 15	Nudt3
Cluster 15	Nup214
Cluster 15	Olfm2
Cluster 15	Otof
Cluster 15	Pacs1
Cluster 15	Padi2
Cluster 15	Parm1
Cluster 15	Parvb
Cluster 15	Pcbp3
Cluster 15	Pcif1
Cluster 15	Pcsk4
Cluster 15	Pdk2
Cluster 15	Pdxp
Cluster 15	Pdzd2
Cluster 15	Per1
Cluster 15	Pim2
Cluster 15	Pink1
Cluster 15	Pip5k1c
Cluster 15	Pitpnm2
Cluster 15	Plekhm1
Cluster 15	Pnkd
Cluster 15	Pnmal2
Cluster 15	Pnpla1
Cluster 15	Pomc
Cluster 15	Ppard
Cluster 15	Ppargc1b
Cluster 15	Prdm2
Cluster 15	Prkcg
Cluster 15	Prr7
Cluster 15	Prrt1
Cluster 15	Prrt2
Cluster 15	Psd
Cluster 15	Ptch1
Cluster 15	Ptpn1
Cluster 15	Ptpn23
Cluster 15	Ptprf
Cluster 15	Pvrl1
Cluster 15	Rab15
Cluster 15	Ralgds
Cluster 15	Rara
Cluster 15	Rasd2
Cluster 15	Rasgrf1
Cluster 15	Raver1
Cluster 15	Rbfox3
Cluster 15	Rbm42
Cluster 15	Rcan3
Cluster 15	Reep6
Cluster 15	Rela
Cluster 15	Rell2
Cluster 15	RGD1304694
Cluster 15	RGD1559896
Cluster 15	Rgma
Cluster 15	Rhog
Cluster 15	Ring1
Cluster 15	Rnf165
Cluster 15	Rnf208
Cluster 15	Rnf38
Cluster 15	Rnpepl1
Cluster 15	Rph3a
Cluster 15	Rtn1
Cluster 15	Rtn2
Cluster 15	Safb
Cluster 15	Samd4b
Cluster 15	Sarm1
Cluster 15	Scaf4
