Geneid,Genename,MDD.dACC.log2FoldChange,MDD.dACC.padj
ENSG00000156218,ADAMTSL3,-0.012301719,0.971818191
ENSG00000143382,ADAMTSL4,0.269387027,0.264762938
ENSG00000185761,ADAMTSL5,-0.132355161,0.781088574
ENSG00000105963,ADAP1,0.026021705,0.928028213
ENSG00000184060,ADAP2,-0.226663475,0.39630847
ENSG00000160710,ADAR,0.004005763,0.982129322
ENSG00000197381,ADARB1,0.016228243,0.949017446
ENSG00000185736,ADARB2,-0.08110472,0.762258276
ENSG00000065457,ADAT1,0.007358543,0.976752547
ENSG00000189007,ADAT2,0.03370783,0.909346704
ENSG00000213638,ADAT3,0.068750736,0.885150715
ENSG00000063761,ADCK1,-0.008498728,0.978718921
ENSG00000133597,ADCK2,0.062621093,0.692000752
ENSG00000173137,ADCK5,0.080880774,0.633523491
ENSG00000164742,ADCY1,0.056037739,0.71621249
ENSG00000143199,ADCY10,0.151350959,0.648012454
ENSG00000078295,ADCY2,0.042324459,0.521108289
ENSG00000138031,ADCY3,0.111351773,0.14668983
ENSG00000129467,ADCY4,-0.007555453,0.994241745
ENSG00000173175,ADCY5,0.066887854,0.476588276
ENSG00000174233,ADCY6,0.088681665,0.291813929
ENSG00000121281,ADCY7,0.05351323,0.852819295
ENSG00000155897,ADCY8,0.102265229,0.374413181
ENSG00000162104,ADCY9,0.039372848,0.803430244
ENSG00000141433,ADCYAP1,0.24588643,0.399149427
ENSG00000078549,ADCYAP1R1,-0.027146385,0.944642069
ENSG00000087274,ADD1,-0.018983832,0.851119983
ENSG00000075340,ADD2,0.092819934,0.730376087
ENSG00000148700,ADD3,-0.164847803,0.385614882
ENSG00000197177,ADGRA1,0.012220311,0.971957885
ENSG00000020181,ADGRA2,-0.074887554,0.853712822
ENSG00000152990,ADGRA3,-0.066182682,0.88724757
ENSG00000181790,ADGRB1,-0.043249079,0.897506381
ENSG00000121753,ADGRB2,0.057081339,0.735211651
ENSG00000135298,ADGRB3,-0.002489969,0.992685956
ENSG00000111452,ADGRD1,0.199593975,0.621910855
ENSG00000123146,ADGRE5,0.032843809,0.954319793
ENSG00000173567,ADGRF3,-0.12980743,0.710808446
ENSG00000069122,ADGRF5,-0.208464365,0.323478012
ENSG00000205336,ADGRG1,-0.069272388,0.891547265
ENSG00000112414,ADGRG6,-0.291387986,0.261701668
ENSG00000072071,ADGRL1,0.021847812,0.910833966
ENSG00000117114,ADGRL2,0.066093158,0.74337124
ENSG00000150471,ADGRL3,0.011221281,0.924746873
ENSG00000162618,ADGRL4,0.014474008,0.987190521
ENSG00000164199,ADGRV1,-0.20516022,0.501175922
ENSG00000197894,ADH5,-0.018982628,0.917375149
ENSG00000147576,ADHFE1,-0.020403536,0.971009081
