Geneid,Genename,MDD.sgPFC.log2FoldChange,MDD.sgPFC.padj
ENSG00000119640,ACYP1,0.029421752,0.706910541
ENSG00000170634,ACYP2,-0.044854391,0.352878059
ENSG00000196839,ADA,0.214210755,0.094195381
ENSG00000093072,ADA2,-0.059672282,0.585067817
ENSG00000168803,ADAL,0.091374826,0.243729936
ENSG00000137845,ADAM10,0.237439075,0.011834698
ENSG00000073670,ADAM11,-0.164169706,0.129893541
ENSG00000148848,ADAM12,0.080664175,0.617686516
ENSG00000143537,ADAM15,-0.176756135,0.18030371
ENSG00000151694,ADAM17,0.101173819,0.192347347
ENSG00000135074,ADAM19,-0.075304955,0.412646637
ENSG00000134007,ADAM20,0.149440561,0.192359352
ENSG00000139985,ADAM21,0.183849304,0.154541228
ENSG00000008277,ADAM22,0.195231814,0.246491709
ENSG00000114948,ADAM23,0.166379756,0.126973114
ENSG00000042980,ADAM28,0.159306177,0.500189958
ENSG00000197140,ADAM32,0.24869386,0.058731853
ENSG00000149451,ADAM33,-0.576311476,0.011016591
ENSG00000151651,ADAM8,-0.33974991,0.073728832
ENSG00000168615,ADAM9,0.15522359,0.175322641
ENSG00000154734,ADAMTS1,0.155622905,0.562988955
ENSG00000142303,ADAMTS10,-0.249825488,0.053737309
ENSG00000160323,ADAMTS13,-0.28877483,0.081186616
ENSG00000138316,ADAMTS14,-0.196352104,0.396521866
ENSG00000166106,ADAMTS15,-0.235296518,0.143380193
ENSG00000145536,ADAMTS16,-0.098782519,0.403176454
ENSG00000140470,ADAMTS17,-0.222086758,0.070777954
ENSG00000145808,ADAMTS19,0.086171605,0.367685565
ENSG00000087116,ADAMTS2,0.118647847,0.445391285
ENSG00000156140,ADAMTS3,0.258451535,0.039327199
ENSG00000158859,ADAMTS4,0.376407316,0.061458944
ENSG00000049192,ADAMTS6,0.054083651,0.664573275
ENSG00000136378,ADAMTS7,-0.059104786,0.781918367
ENSG00000134917,ADAMTS8,-0.27177099,0.002581229
ENSG00000163638,ADAMTS9,1.180129301,0.001116596
ENSG00000178031,ADAMTSL1,-0.057950402,0.702890787
ENSG00000197859,ADAMTSL2,-0.323047512,0.014846855
ENSG00000156218,ADAMTSL3,0.010868844,0.907180848
ENSG00000143382,ADAMTSL4,-0.106048683,0.541544407
ENSG00000185761,ADAMTSL5,-0.562007149,0.003248023
ENSG00000105963,ADAP1,-0.396538642,0.012010317
ENSG00000184060,ADAP2,-0.237072758,0.058875414
ENSG00000160710,ADAR,0.030935086,0.497823473
ENSG00000197381,ADARB1,-0.036794906,0.49881265
ENSG00000185736,ADARB2,-0.203896368,0.036399176
ENSG00000065457,ADAT1,-0.024028834,0.644406785
ENSG00000189007,ADAT2,0.122109206,0.374485204
ENSG00000213638,ADAT3,-0.470726274,0.021585958
ENSG00000063761,ADCK1,-0.198619121,0.005366545
ENSG00000133597,ADCK2,-0.153878184,0.205673987
ENSG00000173137,ADCK5,-0.350975607,0.032977943
ENSG00000164742,ADCY1,-0.061308901,0.698275302
ENSG00000143199,ADCY10,0.051941501,0.750768211
ENSG00000078295,ADCY2,0.080988996,0.13378388
ENSG00000138031,ADCY3,-0.050723266,0.491163409
ENSG00000129467,ADCY4,-0.294987798,0.15190179
ENSG00000173175,ADCY5,-0.107650234,0.277741524
ENSG00000174233,ADCY6,-0.171087454,0.062538269
ENSG00000121281,ADCY7,-0.289595456,0.011736573
ENSG00000155897,ADCY8,-0.111605108,0.321117582
ENSG00000162104,ADCY9,-0.110366823,0.052355326
ENSG00000141433,ADCYAP1,0.09240255,0.582735447
ENSG00000078549,ADCYAP1R1,-0.128058883,0.399183928
ENSG00000087274,ADD1,-0.013692792,0.697449527
ENSG00000075340,ADD2,0.105956306,0.280670263
ENSG00000148700,ADD3,0.103194989,0.375043385
ENSG00000197177,ADGRA1,-0.263085053,0.021215233
ENSG00000020181,ADGRA2,-0.429318811,0.01546965
ENSG00000152990,ADGRA3,-0.026290989,0.860642265
ENSG00000181790,ADGRB1,-0.44191277,0.010115199
ENSG00000121753,ADGRB2,-0.253659932,0.005668253
ENSG00000135298,ADGRB3,0.102812038,0.456821415
ENSG00000111452,ADGRD1,0.024543919,0.890268154
ENSG00000123146,ADGRE5,-0.056407396,0.720957085
ENSG00000173567,ADGRF3,-0.255631904,0.073616928
ENSG00000069122,ADGRF5,-0.06237186,0.587803931
ENSG00000205336,ADGRG1,-0.250370915,0.071041164
ENSG00000112414,ADGRG6,-0.124790385,0.445698057
ENSG00000072071,ADGRL1,-0.174321757,0.008494817
ENSG00000117114,ADGRL2,0.238221699,0.009661196
ENSG00000150471,ADGRL3,0.145826028,0.017195021
ENSG00000162618,ADGRL4,0.190900037,0.371791874
ENSG00000164199,ADGRV1,-0.158430171,0.283650465
ENSG00000197894,ADH5,0.098396724,0.113002322
ENSG00000147576,ADHFE1,-0.062629414,0.679644129
ENSG00000182551,ADI1,0.066571444,0.394755931
ENSG00000159346,ADIPOR1,0.079059893,0.102406588
ENSG00000006831,ADIPOR2,0.088907028,0.340088792
ENSG00000156110,ADK,0.090579936,0.216133791
ENSG00000148926,ADM,0.784372588,0.042930254
ENSG00000224420,ADM5,-0.254735602,0.114530975
ENSG00000101126,ADNP,0.148588544,0.011935905
ENSG00000101544,ADNP2,0.033748428,0.368112454
ENSG00000181915,ADO,-0.008180618,0.92642713
ENSG00000163485,ADORA1,-0.232409239,0.005382283
ENSG00000128271,ADORA2A,-0.286835259,0.163568627
ENSG00000170425,ADORA2B,-0.079983023,0.566441461
ENSG00000159322,ADPGK,-0.008601822,0.862204082
ENSG00000144843,ADPRH,0.02848292,0.852984087
ENSG00000153531,ADPRHL1,-0.029044057,0.749288585
ENSG00000116863,ADPRHL2,-0.152643922,0.100454166
ENSG00000170222,ADPRM,0.233176092,0.0207987
ENSG00000120907,ADRA1A,-0.148338679,0.254601811
ENSG00000170214,ADRA1B,-0.243916943,0.0475295
ENSG00000171873,ADRA1D,-0.41875156,0.007538668
ENSG00000150594,ADRA2A,-0.251466973,0.03174302
ENSG00000184160,ADRA2C,-0.271760086,0.054641526
ENSG00000043591,ADRB1,-0.188041719,0.14093782
ENSG00000169252,ADRB2,-0.092913599,0.516147307
ENSG00000130706,ADRM1,-0.153533369,0.075787591
ENSG00000239900,ADSL,-0.017259121,0.781105618
ENSG00000035687,ADSS,0.239167101,0.024946561
ENSG00000185100,ADSSL1,0.018750476,0.888214785
ENSG00000111863,ADTRP,-0.02802665,0.862686438
ENSG00000106624,AEBP1,-0.177286235,0.438106011
ENSG00000139154,AEBP2,0.157304643,0.039147983
ENSG00000181026,AEN,-0.205958828,0.044872996
ENSG00000104964,AES,-0.193315123,0.025540654
ENSG00000196526,AFAP1,-0.079221949,0.116827638
ENSG00000157510,AFAP1L1,-0.298769891,0.033754554
ENSG00000169129,AFAP1L2,-0.248461002,0.003247548
ENSG00000130396,AFDN,0.037773664,0.774942444
ENSG00000172493,AFF1,0.094048254,0.265990749
ENSG00000155966,AFF2,0.266391366,0.169803612
ENSG00000144218,AFF3,0.117857633,0.083315136
ENSG00000072364,AFF4,0.18598582,0.00643382
ENSG00000135537,AFG1L,0.059914804,0.614435021
ENSG00000141385,AFG3L2,0.096666093,0.094106759
ENSG00000183077,AFMID,-0.025541179,0.809797582
ENSG00000119844,AFTPH,0.254168528,0.029139083
ENSG00000038002,AGA,0.166711968,0.113278094
ENSG00000157985,AGAP1,-0.025496578,0.6298781
ENSG00000135439,AGAP2,-0.199893805,0.007515933
ENSG00000133612,AGAP3,-0.258306564,0.062900541
ENSG00000188234,AGAP4,-0.045259036,0.729333395
ENSG00000204149,AGAP6,-0.072986895,0.445980149
ENSG00000204172,AGAP9,-0.068390822,0.718072293
ENSG00000273540,AGBL1,0.096772912,0.627057266
ENSG00000146856,AGBL3,0.165274303,0.178277133
ENSG00000186094,AGBL4,0.126226006,0.130701549
ENSG00000084693,AGBL5,-0.077718095,0.066783317
ENSG00000204305,AGER,-0.161222976,0.336827008
ENSG00000173744,AGFG1,0.177621871,0.023522705
ENSG00000106351,AGFG2,-0.161491991,0.253029634
ENSG00000164252,AGGF1,0.168587981,0.077654278
ENSG00000006530,AGK,0.097645903,0.400632269
ENSG00000162688,AGL,0.207633066,0.050865242
ENSG00000116771,AGMAT,-0.125896378,0.2467936
ENSG00000092847,AGO1,-0.04834452,0.248786878
ENSG00000123908,AGO2,-0.048490487,0.714647436
ENSG00000126070,AGO3,0.070541295,0.276394665
ENSG00000134698,AGO4,0.085218895,0.198443689
ENSG00000204310,AGPAT1,-0.094390946,0.058495384
ENSG00000169692,AGPAT2,-0.280459909,0.047346124
ENSG00000160216,AGPAT3,-0.113799734,0.026807958
ENSG00000026652,AGPAT4,0.00757575,0.955992665
ENSG00000155189,AGPAT5,0.049690652,0.685020362
ENSG00000018510,AGPS,0.246247895,0.011267356
ENSG00000188157,AGRN,-0.456939949,0.001822615
ENSG00000159723,AGRP,-0.310906948,0.046379904
ENSG00000135744,AGT,-0.061744865,0.707071506
ENSG00000135049,AGTPBP1,0.21329935,0.174375576
ENSG00000177674,AGTRAP,-0.142641396,0.335051389
ENSG00000153207,AHCTF1,0.241672663,0.007515933
ENSG00000101444,AHCY,-0.040202359,0.637503678
ENSG00000168710,AHCYL1,0.119887916,0.288077775
ENSG00000158467,AHCYL2,-0.064502591,0.654482062
ENSG00000126705,AHDC1,-0.199405844,0.03195477
ENSG00000135541,AHI1,0.191576005,0.21993335
ENSG00000124942,AHNAK,0.029056479,0.867689322
ENSG00000185567,AHNAK2,0.011347419,0.926458567
ENSG00000106546,AHR,0.153057345,0.214854441
ENSG00000063438,AHRR,-0.051979283,0.74132397
ENSG00000100591,AHSA1,0.04661154,0.626292226
ENSG00000186063,AIDA,0.216617857,0.017283151
ENSG00000204472,AIF1,0.218996945,0.459479343
ENSG00000126878,AIF1L,-0.413433013,0.035152898
ENSG00000156709,AIFM1,-0.034673154,0.745893547
ENSG00000042286,AIFM2,-0.128740069,0.220118628
ENSG00000183773,AIFM3,-0.427527695,0.008561323
ENSG00000146416,AIG1,0.016563027,0.891872912
ENSG00000164022,AIMP1,0.242844238,0.007428597
ENSG00000106305,AIMP2,-0.16498368,0.075170134
ENSG00000110711,AIP,-0.173627645,0.036598516
ENSG00000160224,AIRE,-0.064171467,0.77525162
ENSG00000196581,AJAP1,0.035607374,0.577744672
ENSG00000232434,AJM1,-0.452950826,0.009575409
ENSG00000129474,AJUBA,-0.458236067,0.0075473
ENSG00000106992,AK1,-0.242136577,0.037312218
ENSG00000004455,AK2,0.054350943,0.306243806
ENSG00000147853,AK3,0.098332216,0.479898464
ENSG00000162433,AK4,0.146643036,0.074438976
ENSG00000154027,AK5,0.203346492,0.13319901
ENSG00000085231,AK6,0.270090135,0.034647226
ENSG00000140057,AK7,0.279009437,0.049400914
ENSG00000165695,AK8,0.039319693,0.748145531
ENSG00000155085,AK9,0.20862085,0.105531169
ENSG00000231824,AKAIN1,-0.067424394,0.823578786
ENSG00000121057,AKAP1,-0.015087275,0.774199497
ENSG00000108599,AKAP10,0.175020006,0.012070448
ENSG00000023516,AKAP11,0.323323523,0.021988191
ENSG00000131016,AKAP12,0.211696635,0.148178734
ENSG00000170776,AKAP13,0.105708123,0.129149904
ENSG00000197976,AKAP17A,-0.31564779,0.024175812
ENSG00000111254,AKAP3,-0.057644683,0.683141861
ENSG00000179841,AKAP5,0.229977195,0.112307606
ENSG00000151320,AKAP6,0.180884938,0.077780458
ENSG00000118507,AKAP7,0.07190096,0.589195949
ENSG00000105127,AKAP8,-0.099755155,0.140000412
ENSG00000011243,AKAP8L,-0.026476725,0.775750974
ENSG00000127914,AKAP9,0.272938948,0.080130297
ENSG00000166452,AKIP1,-0.104431903,0.022585752
